order,lemma,frequency
"1","být","4044082"
"2","mít","734065"
"3","moci","411376"
"4","muset","200381"
"5","chtít","189887"
"6","říci","180576"
"7","jít","160655"
"8","vědět","151747"
"9","stát","142771"
"10","dát","112636"
"11","říkat","99346"
"12","vidět","99270"
"13","začít","98617"
"14","dostat","82781"
"15","myslet","82118"
"16","přijít","79115"
"17","dělat","75480"
"18","najít","61257"
"19","udělat","60014"
"20","dokázat","58783"
"21","lze","54875"
"22","nechat","54787"
"23","hrát","49537"
"24","čekat","48386"
"25","mluvit","48180"
"26","vrátit","46132"
"27","snažit","45894"
"28","vypadat","45557"
"29","vzít","44928"
"30","patřit","44727"
"31","zůstat","43466"
"32","vést","43036"
"33","potřebovat","41657"
"34","žít","40762"
"35","znát","40743"
"36","cítit","39322"
"37","dojít","38841"
"38","získat","37178"
"39","znamenat","36326"
"40","pracovat","36219"
"41","zeptat","35240"
"42","slyšet","34792"
"43","podívat","34361"
"44","rozhodnout","33403"
"45","objevit","32222"
"46","ukázat","32018"
"47","existovat","31802"
"48","uvést","31577"
"49","sedět","31493"
"50","stačit","31108"
"51","pomoci","31050"
"52","chodit","30082"
"53","zdát","29975"
"54","dávat","29075"
"55","věřit","29040"
"56","platit","28533"
"57","otevřít","28531"
"58","jednat","26822"
"59","zjistit","26639"
"60","změnit","26276"
"61","psát","26224"
"62","pokračovat","26155"
"63","držet","26017"
"64","jet","26005"
"65","umět","25984"
"66","hledat","25935"
"67","představovat","25808"
"68","dívat","25804"
"69","skončit","25431"
"70","používat","25136"
"71","začínat","24735"
"72","považovat","24699"
"73","podařit","24603"
"74","působit","24296"
"75","odpovědět","23986"
"76","představit","23959"
"77","nabízet","23951"
"78","ležet","23773"
"79","vyjít","23762"
"80","brát","23660"
"81","sledovat","23428"
"82","připravit","23314"
"83","napsat","22040"
"84","trvat","21952"
"85","tvořit","21495"
"86","bývat","21456"
"87","věnovat","21238"
"88","vydat","21220"
"89","postavit","21196"
"90","dodat","20971"
"91","vytvořit","20762"
"92","zastavit","20708"
"93","odejít","20547"
"94","tvrdit","20445"
"95","vzniknout","20263"
"96","bát","19260"
"97","poznat","19220"
"98","chápat","19128"
"99","číst","18775"
"100","připadat","18752"
"101","použít","18533"
"102","zapomenout","18488"
"103","smět","18462"
"104","líbit","18295"
"105","ptát","18191"
"106","koupit","18034"
"107","fungovat","18023"
"108","zvednout","17969"
"109","vybrat","17929"
"110","uvidět","17862"
"111","dosáhnout","17774"
"112","využít","17730"
"113","přinést","17696"
"114","přestat","16867"
"115","milovat","16776"
"116","napadnout","16730"
"117","pochopit","16385"
"118","měnit","16219"
"119","zajímat","16137"
"120","nacházet","16115"
"121","všimnout","16104"
"122","řešit","16016"
"123","pustit","15933"
"124","vysvětlit","15907"
"125","využívat","15875"
"126","přijet","15866"
"127","poslat","15684"
"128","ztratit","15636"
"129","přát","15616"
"130","ukazovat","15511"
"131","prohlásit","15434"
"132","zemřít","15395"
"133","otočit","15355"
"134","odpovídat","15260"
"135","prosit","15171"
"136","sloužit","15085"
"137","pomáhat","15057"
"138","počítat","15023"
"139","přidat","15018"
"140","zůstávat","14982"
"141","hodit","14942"
"142","zmizet","14804"
"143","doufat","14767"
"144","rozumět","14752"
"145","spát","14688"
"146","znít","14652"
"147","vycházet","14619"
"148","vyhrát","14574"
"149","projít","14487"
"150","uvědomit","14419"
"151","dít","14291"
"152","jezdit","14242"
"153","vysvětlovat","14236"
"154","vracet","14208"
"155","přicházet","14133"
"156","jmenovat","14099"
"157","bavit","14077"
"158","položit","14070"
"159","vyprávět","14005"
"160","chovat","13912"
"161","nabídnout","13898"
"162","týkat","13853"
"163","obsahovat","13848"
"164","přijmout","13838"
"165","chybět","13645"
"166","docházet","13538"
"167","připomínat","13364"
"168","naučit","13345"
"169","pozorovat","13253"
"170","zavolat","13106"
"171","pohybovat","13022"
"172","nést","12988"
"173","pamatovat","12979"
"174","umožňovat","12957"
"175","provést","12850"
"176","těšit","12774"
"177","vzpomínat","12740"
"178","dovolit","12720"
"179","růst","12641"
"180","vnímat","12363"
"181","bydlet","12344"
"182","pokusit","12334"
"183","vytvářet","12299"
"184","stávat","12289"
"185","usmát","12232"
"186","podat","12183"
"187","očekávat","12181"
"188","chystat","12166"
"189","obrátit","12159"
"190","poslouchat","12125"
"191","vytáhnout","12103"
"192","zaplatit","12101"
"193","zajistit","12095"
"194","dostávat","12059"
"195","probíhat","12051"
"196","zvládnout","12030"
"197","přemýšlet","12024"
"198","předpokládat","11947"
"199","opustit","11853"
"200","přesvědčit","11740"
"201","dozvědět","11663"
"202","volat","11625"
"203","zavřít","11604"
"204","zabít","11571"
"205","dodávat","11486"
"206","potvrdit","11464"
"207","určit","11411"
"208","vznikat","11392"
"209","vstoupit","11353"
"210","učit","11331"
"211","zkusit","11211"
"212","následovat","11207"
"213","vyrazit","11171"
"214","souhlasit","11162"
"215","řídit","11158"
"216","setkat","11068"
"217","bránit","11022"
"218","tušit","10966"
"219","uvádět","10952"
"220","povídat","10937"
"221","ozvat","10935"
"222","nosit","10919"
"223","smát","10891"
"224","zabývat","10882"
"225","způsobit","10846"
"226","záležet","10826"
"227","hrozit","10791"
"228","zvolit","10731"
"229","hovořit","10724"
"230","přiznat","10699"
"231","založit","10549"
"232","bojovat","10543"
"233","vyžadovat","10448"
"234","končit","10430"
"235","běžet","10402"
"236","uvažovat","10398"
"237","konat","10395"
"238","vydržet","10391"
"239","vadit","10318"
"240","opakovat","10222"
"241","pocházet","10077"
"242","objevovat","10061"
"243","nalézt","10045"
"244","vzpomenout","9999"
"245","požádat","9892"
"246","reagovat","9833"
"247","přinášet","9819"
"248","padnout","9785"
"249","podporovat","9734"
"250","udržet","9717"
"251","oznámit","9717"
"252","vejít","9705"
"253","popsat","9664"
"254","odmítnout","9621"
"255","narodit","9620"
"256","činit","9613"
"257","dorazit","9568"
"258","poskytovat","9558"
"259","počkat","9554"
"260","vstát","9553"
"261","potkat","9553"
"262","spojit","9543"
"263","přejít","9521"
"264","pomyslet","9490"
"265","připravovat","9464"
"266","jíst","9425"
"267","zvýšit","9406"
"268","umožnit","9361"
"269","posadit","9291"
"270","dopadnout","9233"
"271","pokoušet","9222"
"272","provádět","9214"
"273","prodávat","9154"
"274","dařit","9101"
"275","navrhnout","8965"
"276","užívat","8893"
"277","překvapit","8878"
"278","strávit","8866"
"279","viz","8811"
"280","pít","8734"
"281","navštívit","8721"
"282","procházet","8706"
"283","nastat","8668"
"284","sejít","8642"
"285","starat","8605"
"286","promluvit","8584"
"287","spatřit","8578"
"288","zachránit","8534"
"289","žádat","8413"
"290","poskytnout","8388"
"291","dovést","8343"
"292","uzavřít","8342"
"293","připomenout","8295"
"294","zbavit","8287"
"295","snížit","8247"
"296","prodat","8238"
"297","poznamenat","8154"
"298","doplnit","8137"
