"order","lemma","total_frequency","total_ipm"
1,"být",4044082,40104.5163592565
2,"mít",734065,7279.60555727051
3,"moci",411376,4079.55019749983
4,"muset",200381,1987.14642595877
5,"chtít",189887,1883.07910124229
6,"říci",180576,1790.74339889476
7,"jít",160655,1593.19001832711
8,"vědět",151747,1504.85080272064
9,"stát",142771,1415.83724195687
10,"dát",112636,1116.99325202635
11,"říkat",99346,985.198441136134
12,"vidět",99270,984.444761254444
13,"začít",98617,977.969064376241
14,"dostat",82781,820.925977449422
15,"myslet",82118,814.351112165734
16,"přijít",79115,784.570839998442
17,"dělat",75480,748.523124604467
18,"najít",61257,607.475901482457
19,"udělat",60014,595.14926868061
20,"dokázat",58783,582.941637965347
21,"lze",54875,544.186625101618
22,"nechat",54787,543.313943133346
23,"hrát",49537,491.250530253464
24,"čekat",48386,479.836246782084
25,"mluvit",48180,477.793377629083
26,"vrátit",46132,457.483688185655
27,"snažit",45894,455.123480135101
28,"vypadat",45557,451.78150487024
29,"vzít",44928,445.543812165202
30,"patřit",44727,443.550527214944
31,"zůstat",43466,431.045391283224
32,"vést",43036,426.781149847348
33,"potřebovat",41657,413.105826730899
34,"žít",40762,404.230254439948
35,"znát",40743,404.041834469526
36,"cítit",39322,389.950004050038
37,"dojít",38841,385.180003746186
38,"získat",37178,368.688297913949
39,"znamenat",36326,360.239149766585
40,"pracovat",36219,359.178047827891
41,"zeptat",35240,349.469460930861
42,"slyšet",34792,345.026716365111
43,"podívat",34361,340.752558088687
44,"rozhodnout",33403,331.252224843177
45,"objevit",32222,319.540436155341
46,"ukázat",32018,317.517400683437
47,"existovat",31802,315.37536312495
48,"uvést",31577,313.144074001527
49,"sedět",31493,312.311059395449
50,"stačit",31108,308.493075784257
51,"pomoci",31050,307.917899032442
52,"chodit",30082,298.318397381446
53,"zdát",29975,297.257295442752
54,"dávat",29075,288.332138949058
55,"věřit",29040,287.985049529858
56,"platit",28533,282.957211371744
57,"otevřít",28531,282.937377690647
58,"jednat",26822,265.989497193177
59,"zjistit",26639,264.174715372793
60,"změnit",26276,260.574902253669
61,"psát",26224,260.059226545145
62,"pokračovat",26155,259.374964547295
63,"držet",26017,258.006440551595
64,"jet",26005,257.887438465013
65,"umět",25984,257.679184813493
66,"hledat",25935,257.193259626614
67,"představovat",25808,255.933820876949
68,"dívat",25804,255.894153514754
69,"skončit",25431,252.195171990146
70,"používat",25136,249.269704028324
71,"začínat",24735,245.293050968356
72,"považovat",24699,244.936044708608
73,"podařit",24603,243.984028015947
74,"působit",24296,240.939557967543
75,"odpovědět",23986,237.865337397493
76,"představit",23959,237.597582702682
77,"nabízet",23951,237.518247978293
78,"ležet",23773,235.753050360652
79,"vyjít",23762,235.643965114618
80,"brát",23660,234.632447378666
81,"sledovat",23428,232.331740371402
82,"připravit",23314,231.201220548868
83,"napsat",22040,218.567165690017
84,"trvat",21952,217.694483721744
85,"tvořit",21495,213.162487591057
86,"bývat",21456,212.775730809664
87,"věnovat",21238,210.61385957008
88,"vydat",21220,210.435356440206
89,"postavit",21196,210.197352267041
90,"dodat",20971,207.966063143618
91,"vytvořit",20762,205.893443468971
92,"zastavit",20708,205.357934079349
93,"odejít",20547,203.761322751033
94,"tvrdit",20445,202.749805015081
95,"vzniknout",20263,200.944940035245
96,"bát",19260,190.998348965051
97,"poznat",19220,190.601675343109
98,"chápat",19128,189.689326012642
99,"číst",18775,186.188681299005
100,"připadat",18752,185.960593966388
101,"použít",18533,183.788805886256
102,"zapomenout",18488,183.342548061571
103,"smět",18462,183.084710207309
104,"líbit",18295,181.428597835701
105,"ptát",18191,180.397246418652
106,"koupit",18034,178.84030245253
107,"fungovat",18023,178.731217206496
108,"zvednout",17969,178.195707816874
109,"vybrat",17929,177.799034194932
110,"uvidět",17862,177.134605878179
111,"dosáhnout",17774,176.261923909907
112,"využít",17730,175.825582925771
113,"přinést",17696,175.48841034712
114,"přestat",16867,167.267349532373
115,"milovat",16776,166.364917042455
116,"napadnout",16730,165.908742377222
117,"pochopit",16385,162.487432387973
118,"měnit",16219,160.841236856914
119,"zajímat",16137,160.028055931933
120,"nacházet",16115,159.809885439865
121,"všimnout",16104,159.700800193831
122,"řešit",16016,158.828118225558
123,"pustit",15933,158.005020460029
124,"vysvětlit",15907,157.747182605766
125,"využívat",15875,157.429843708213
126,"přijet",15866,157.340592143276
127,"poslat",15684,155.53572716344
128,"ztratit",15636,155.05971881711
129,"přát",15616,154.861382006139
130,"ukazovat",15511,153.820113748541
131,"prohlásit",15434,153.056517026303
132,"zemřít",15395,152.669760244909
133,"otočit",15355,152.273086622968
134,"odpovídat",15260,151.330986770855
135,"prosit",15171,150.448387962035
136,"sloužit",15085,149.595539674859
137,"pomáhat",15057,149.3178681395
138,"počítat",15023,148.980695560849
139,"přidat",15018,148.931111358107
140,"zůstávat",14982,148.574105098359
141,"hodit",14942,148.177431476417
142,"zmizet",14804,146.808907480717
143,"doufat",14767,146.441984380421
144,"rozumět",14752,146.293231772193
145,"spát",14688,145.658553977085
146,"znít",14652,145.301547717338
147,"vycházet",14619,144.974291979236
148,"vyhrát",14574,144.528034154551
149,"projít",14487,143.665269026827
150,"uvědomit",14419,142.990923869526
151,"dít",14291,141.721568279312
152,"jezdit",14242,141.235643092433
153,"vysvětlovat",14236,141.176142049141
154,"vracet",14208,140.898470513782
155,"přicházet",14133,140.154707472641
156,"jmenovat",14099,139.81753489399
157,"bavit",14077,139.599364401922
158,"položit",14070,139.529946518082
159,"vyprávět",14005,138.885351882427
160,"chovat",13912,137.963085711412
161,"nabídnout",13898,137.824249943732
162,"týkat",13853,137.377992119047
163,"obsahovat",13848,137.328407916304
164,"přijmout",13838,137.229239510819
165,"chybět",13645,135.315289284949
166,"docházet",13538,134.254187346254
167,"připomínat",13364,132.528657090807
168,"naučit",13345,132.340237120384
169,"pozorovat",13253,131.427887789918
170,"zavolat",13106,129.970112229281
171,"pohybovat",13022,129.137097623203
172,"nést",12988,128.799925044552
173,"pamatovat",12979,128.710673479615
174,"umožňovat",12957,128.492502987547
175,"provést",12850,127.431401048853
176,"těšit",12774,126.677721167163
177,"vzpomínat",12740,126.340548588512
178,"dovolit",12720,126.142211777541
179,"růst",12641,125.358781374206
180,"vnímat",12363,122.601899701709
181,"bydlet",12344,122.413479731287
182,"pokusit",12334,122.314311325801
183,"vytvářet",12299,121.967221906602
184,"stávat",12289,121.868053501117
185,"usmát",12232,121.302793589849
186,"podat",12183,120.816868402971
187,"očekávat",12181,120.797034721873
188,"chystat",12166,120.648282113645
189,"obrátit",12159,120.578864229805
190,"poslouchat",12125,120.241691651155
191,"vytáhnout",12103,120.023521159087
192,"zaplatit",12101,120.00368747799
193,"zajistit",12095,119.944186434698
194,"dostávat",12059,119.587180174951
195,"probíhat",12051,119.507845450562
196,"zvládnout",12030,119.299591799043
197,"přemýšlet",12024,119.240090755751
198,"předpokládat",11947,118.476494033513
199,"opustit",11853,117.544311021949
200,"přesvědčit",11740,116.423708039963
201,"dozvědět",11663,115.660111317725
202,"volat",11625,115.28327137688
203,"zavřít",11604,115.075017725361
204,"zabít",11571,114.747761987259
205,"dodávat",11486,113.904830540632
206,"potvrdit",11464,113.686660048564
207,"určit",11411,113.161067499491
208,"vznikat",11392,112.972647529068
209,"vstoupit",11353,112.585890747675
210,"učit",11331,112.367720255607
211,"zkusit",11211,111.177699389781
212,"následovat",11207,111.138032027587
213,"vyrazit",11171,110.781025767839
214,"souhlasit",11162,110.691774202902
215,"řídit",11158,110.652106840708
216,"setkat",11068,109.759591191339
217,"bránit",11022,109.303416526105
218,"tušit",10966,108.748073455387
219,"uvádět",10952,108.609237687707
220,"povídat",10937,108.460485079479
221,"ozvat",10935,108.440651398382
222,"nosit",10919,108.281981949605
223,"smát",10891,108.004310414245
224,"zabývat",10882,107.915058849309
225,"způsobit",10846,107.558052589561
226,"záležet",10826,107.35971577859
227,"hrozit",10791,107.012626359391
228,"zvolit",10731,106.417615926478
229,"hovořit",10724,106.348198042638
230,"přiznat",10699,106.100277028924
231,"založit",10549,104.612750946642
232,"bojovat",10543,104.55324990335
233,"vyžadovat",10448,103.611150051238
234,"končit",10430,103.432646921364
235,"běžet",10402,103.154975386005
236,"uvažovat",10398,103.115308023811
237,"konat",10395,103.085557502165
238,"vydržet",10391,103.045890139971
239,"vadit",10318,102.321960779927
240,"opakovat",10222,101.369944087266
241,"pocházet",10077,99.9320022077267
242,"objevovat",10061,99.7733327589499
243,"nalézt",10045,99.6146633101731
244,"vzpomenout",9999,99.1584886449399
245,"požádat",9892,98.0973867062452
246,"reagovat",9833,97.5122931138808
247,"přinášet",9819,97.3734573462011
248,"padnout",9785,97.0362847675504
249,"podporovat",9734,96.5305258995745
250,"udržet",9717,96.3619396102491
251,"oznámit",9717,96.3619396102491
252,"vejít",9705,96.2429375236665
253,"popsat",9664,95.836347061176
254,"odmítnout",9621,95.4099229175884
255,"narodit",9620,95.4000060770399
256,"činit",9613,95.3305881932
257,"dorazit",9568,94.8843303685154
258,"poskytovat",9558,94.7851619630299
259,"počkat",9554,94.7454946008357
260,"vstát",9553,94.7355777602871
261,"potkat",9553,94.7355777602871
262,"spojit",9543,94.6364093548016
263,"přejít",9521,94.4182388627335
264,"pomyslet",9490,94.1108168057285
265,"připravovat",9464,93.8529789514663
266,"jíst",9425,93.4662221700729
267,"zvýšit",9406,93.2778021996504
268,"umožnit",9361,92.8315443749657
269,"posadit",9291,92.1373655365673
270,"dopadnout",9233,91.5621887847515
271,"pokoušet",9222,91.4531035387174
272,"provádět",9214,91.3737688143291
273,"prodávat",9154,90.7787583814161
274,"dařit",9101,90.253165832343
275,"navrhnout",8965,88.9044755177404
276,"užívat",8893,88.1904629982449
277,"překvapit",8878,88.0417103900166
278,"strávit",8866,87.9227083034341
279,"viz",8811,87.3772820732639
280,"pít",8734,86.6136853510256
281,"navštívit",8721,86.4847664238945
282,"procházet",8706,86.3360138156662
283,"nastat",8668,85.9591738748214
284,"sejít",8642,85.7013360205591
285,"starat",8605,85.3344129202628
286,"promluvit",8584,85.1261592687433
287,"spatřit",8578,85.066658225452
288,"zachránit",8534,84.6303172413158
289,"žádat",8413,83.4303795349414
290,"poskytnout",8388,83.1824585212277
291,"dovést",8343,82.736200696543
292,"uzavřít",8342,82.7262838559945
293,"připomenout",8295,82.2601923502127
294,"zbavit",8287,82.1808576258243
295,"snížit",8247,81.7841840038823
296,"prodat",8238,81.6949324389454
297,"poznamenat",8154,80.8619178328673
298,"doplnit",8137,80.6933315435419
299,"sdělit",8132,80.6437473407992
300,"zbývat",8126,80.5842462975079
301,"nahradit",8112,80.4454105298282
302,"popisovat",8110,80.4255768487311
303,"nastoupit",8108,80.405743167634
304,"trpět",8101,80.3363252837942
305,"odjet",8045,79.7809822130755
306,"přikývnout",8007,79.4041422722306
307,"zpívat",7994,79.2752233450995
308,"vyrábět",7978,79.1165538963227
309,"vyjádřit",7974,79.0768865341285
310,"narazit",7934,78.6802129121865
311,"chránit",7916,78.5017097823127
312,"vystoupit",7915,78.4917929417641
313,"klást",7848,77.8273646250113
314,"zažít",7841,77.7579467411715
315,"dotknout",7812,77.4703583652636
316,"uvědomovat",7810,77.4505246841665
317,"přežít",7802,77.3711899597781
318,"přečíst",7717,76.5282585131514
319,"děkovat",7684,76.2010027750493
320,"pohlédnout",7639,75.7547449503646
321,"zachovat",7609,75.4572397339082
322,"umístit",7591,75.2787366040343
323,"domnívat",7579,75.1597345174517
324,"spočívat",7565,75.020898749772
325,"sednout",7564,75.0109819092235
326,"studovat",7563,75.0010650686749
327,"lišit",7498,74.3564704330192
328,"táhnout",7479,74.1680504625968
329,"souviset",7448,73.8606284055918
330,"informovat",7429,73.6722084351694
331,"hledět",7428,73.6622915946208
332,"proběhnout",7379,73.1763664077419
333,"podílet",7370,73.087114842805
334,"ztrácet",7363,73.0176969589651
335,"přivést",7333,72.7201917425087
336,"odmítat",7320,72.5912728153776
337,"označit",7214,71.5400877172314
338,"vyskytovat",7184,71.2425825007749
339,"utéci",7154,70.9450772843184
340,"chytit",7144,70.8459088788329
341,"ovlivnit",7143,70.8359920382844
