lemma;total_frequency;total_ipm;reflexive_frequency;reflexive_ipm;reflexivity;semantic_compatibility;correct_valence;visual
chystat;12166;100.754695401935;8239;68.2326101772595;0.677215189873418;1;1;0
dohodnout;4641;38.4351916291614;3844;31.8347073093076;0.82826976944624;1;1;0
donést;2207;18.2776272194698;515;4.26505573993065;0.233348436792025;1;0;0
dostávat;12059;99.8685576074247;4932;40.845155163763;0.40898913674434;0;0;0
dožít;1406;11.6440162530922;1184;9.80548737102503;0.842105263157895;0;0;0
drát;3810;31.5531308138559;886;7.3375522050069;0.23254593175853;0;0;0
hrabat;958;7.9338318424341;510;4.22364743177598;0.532359081419624;0;1;1
hromadit;850;7.0394123862933;644;5.33339009032104;0.757647058823529;1;1;1
jevit;4706;38.9734996351721;3945;32.6711551340319;0.838291542711432;0;0;0
jmenovat;14099;116.763147334529;10041;83.1561644362013;0.712178168664444;0;1;0
klepat;1310;10.8489767365226;425;3.51970619314665;0.32442748091603;0;1;0
kroutit;2113;17.4991510261621;638;5.28370012053544;0.301940369143398;1;0;1
naklonit;4129;34.1949808741236;2957;24.4888734426698;0.716154032453378;1;1;1
natáčet;2213;18.3273171892554;506;4.19052078525225;0.228648892905558;0;0;0
naučit;13345;110.518774464805;8801;72.886904013844;0.65949793930311;1;0;0
nazývat;6973;57.7480265524979;2577;21.3418420229151;0.369568335006453;1;1;0
nudit;1789;14.8158926577397;1108;9.17608108707409;0.619340413638904;1;1;1
obejít;5096;42.2033476712361;3102;25.6897143791551;0.608712715855573;1;1;0
objímat;1659;13.7392766457183;385;3.18843972790932;0.232067510548523;1;1;1
obléknout;2475;20.4971125365599;854;7.07253903281704;0.345050505050505;1;1;1
ochladit;654;5.41620670663038;405;3.35407296052799;0.619266055045872;1;1;0
oddělit;2632;21.7973334126164;553;4.57975888190611;0.210106382978723;;;
odebrat;2294;18.998131781361;906;7.50318543762557;0.394943330427201;;;
odlišovat;1739;14.401809576193;1056;8.74543468226556;0.607245543415756;;;
odpoutat;611;5.06009525650025;416;3.44517123846825;0.680851063829787;;;
odtáhnout;2140;17.7227558901973;692;5.73090984860584;0.323364485981308;;;
odvážit;2673;22.1368815394847;2225;18.4266971288266;0.832398054620277;;;
odvolat;3090;25.5903344395839;784;6.49282271865171;0.253721682847896;;;
ohlásit;2213;18.3273171892554;482;3.99176090610985;0.217803886127429;;;
orientovat;2192;18.1534022950058;1407;11.6522979147232;0.641879562043796;;;
otočit;15355;127.164914342981;11349;93.988577849462;0.739107782481277;;;
otřít;2018;16.7123931712234;313;2.59216009048212;0.155104063429138;;;
pást;716;5.92966972774824;405;3.35407296052799;0.565642458100559;;;
pěstovat;3090;25.5903344395839;813;6.73299090594877;0.263106796116505;;;
plést;2639;21.855305044033;1469;12.165760935841;0.556650246305419;;;
podepsat;6441;53.3421825648414;1124;9.30858767316903;0.174507064120478;;;
posadit;9291;76.9449182130013;7814;64.7129039841128;0.841028952749973;;;
poškrábat;470;3.89238096653865;272;2.25261196361386;0.578723404255319;;;
postavit;21196;175.538099929262;7334;60.7377064012648;0.346008680883185;;;
posunout;4177;34.5925006324084;1789;14.8158926577397;0.428297821402921;;;
potápět;469;3.88409930490772;376;3.11390477323092;0.801705756929638;;;
potopit;747;6.18640123830717;394;3.26297468258772;0.527443105756359;;;
pouštět;3674;30.4268248320489;1318;10.9152300295701;0.358737071311922;;;
používat;25136;208.167846755139;6951;57.5658299966174;0.276535646085296;;;
prát;2028;16.7952097875327;1060;8.7785613287893;0.522682445759369;;;
přeměnit;1068;8.84481462183676;377;3.12218643486185;0.352996254681648;;;
přenášet;2721;22.5344012977695;745;6.16983791504531;0.273796398382947;;;
přestěhovat;3008;24.9112381858474;2397;19.8511429293471;0.796875;;;
přetahovat;412;3.41204459194452;270;2.23604864035199;0.655339805825243;;;
převrátit;875;7.24645392706664;442;3.66049444087252;0.505142857142857;;;
přezdívat;793;6.56735767333011;382;3.16359474301652;0.48171500630517;;;
přibližovat;2396;19.8428612677162;1346;11.1471165552362;0.561769616026711;;;
přidávat;3621;29.9878967656095;1211;10.0290922350602;0.334438000552334;;;
přidržovat;853;7.0642573711861;280;2.31886525666132;0.328253223915592;;;
přihodit;2154;17.8386991530303;1788;14.8076109961087;0.83008356545961;;;
připojit;6453;53.4415625044126;3185;26.3770922945226;0.493568882690222;;;
prodloužit;2398;19.859424590978;371;3.07249646507625;0.154712260216847;;;
