"1";"absolutizovat";"2";""
"2";"absolvovat";"10";""
"3";"absorbovat";"17";""
"4";"abstrahovat";"3";""
"5";"adaptovat";"246";""
"6";"administrovat";"3";""
"7";"adoptovat";"6";""
"8";"adorovat";"2";""
"9";"adovat";"2";""
"10";"adresovat";"1";""
"11";"adsorbovat";"14";""
"12";"agitovat";"4";""
"13";"agregovat";"2";""
"14";"akcelerovat";"3";""
"15";"akcentovat";"7";""
"16";"akceptovat";"18";""
"17";"aklimatizovat";"48";""
"18";"akomodovat";"1";""
"19";"akreditovat";"13";""
"20";"aktivizovat";"38";""
"21";"aktivovat";"306";""
"22";"aktualizovat";"78";""
"23";"akumulovat";"57";""
"24";"alergizovat";"1";""
"25";"alternovat";"6";""
"26";"amerikanizovat";"4";""
"27";"amortizovat";"3";""
"28";"amplifikovat";"2";""
"29";"amputovat";"2";""
"30";"analyzovat";"66";""
"31";"anektovat";"1";""
"32";"angažovat";"926";""
"33";"anihilovat";"5";""
"34";"animovat";"3";""
"35";"anonymizovat";"2";""
"36";"anticipovat";"1";""
"37";"antikvovat";"1";""
"38";"anulovat";"10";""
"39";"apelovat";"8";""
"40";"aplaudovat";"3";""
"41";"aplikovat";"355";""
"42";"aproximovat";"4";""
"43";"aranžovat";"4";""
"44";"aretovat";"2";""
"45";"argumentovat";"58";""
"46";"archivovat";"24";""
"47";"arizovat";"1";""
"48";"armovat";"2";""
"49";"aromatizovat";"9";""
"50";"artikulovat";"6";""
"51";"asanovat";"3";""
"52";"asimilovat";"25";""
"53";"asociovat";"6";""
"54";"aspirovat";"1";""
"55";"atomizovat";"4";""
"56";"autentizovat";"1";""
"57";"autocenzurovat";"1";""
"58";"automatizovat";"10";""
"59";"autorizovat";"7";""
"60";"avizovat";"3";""
"61";"babrat";"40";""
"62";"bacit";"5";""
"63";"bádat";"5";""
"64";"bagatelizovat";"8";""
"65";"bagrovat";"4";""
"66";"bahnit";"8";""
"67";"bájit";"1";""
"68";"balamutit";"2";""
"69";"balancovat";"3";""
"70";"balit";"128";""
"71";"banalizovat";"3";""
"72";"bankrotovat";"1";""
"73";"barbarizovat";"1";""
"74";"barikádovat";"2";""
"75";"barvit";"124";""
"76";"básnit";"3";""
"77";"baštit";"1";""
"78";"bát";"17591";""
"79";"batolit";"58";""
