"order","lemma","reflexive_frequency","reflexive_ipm"
1,"stát",73226,726.170566008038
2,"snažit",43586,432.23541214905
3,"dát",40766,404.269921802142
4,"vrátit",38104,377.871292261905
5,"dostat",35414,351.194991186309
6,"zeptat",34404,341.178982232274
7,"podívat",31607,313.441579217983
8,"zdát",29603,293.568230758691
9,"dívat",25024,248.159017886886
10,"podařit",24429,242.2584977605
11,"objevit",22761,225.71720772552
12,"rozhodnout",22170,219.856354961328
13,"jednat",19198,190.383504851041
14,"ptát",17780,176.321424953198
15,"bát",17591,174.447142089523
16,"líbit",17338,171.93818143074
17,"cítit",14480,143.595851142987
18,"týkat",13779,136.644145918455
19,"dít",13677,135.632628182503
20,"nacházet",12297,121.947388225505
21,"vracet",12250,121.481296719723
22,"změnit",12202,121.005288373393
23,"pohybovat",12122,120.211941129509
24,"usmát",12013,119.131005509717
25,"pokusit",11447,113.518073759239
26,"otočit",11349,112.546223385481
27,"dozvědět",11328,112.337969733961
28,"mít",11149,110.562855275771
29,"chovat",11147,110.543021594674
30,"věnovat",11139,110.463686870286
31,"stávat",11131,110.384352145897
32,"vydat",10880,107.895225168211
33,"setkat",10864,107.736555719435
34,"ozvat",10797,107.072127402682
35,"zabývat",10784,106.943208475551
36,"smát",10389,103.026056458874
37,"zastavit",10384,102.976472256131
38,"jmenovat",10041,99.5749959479789
39,"těšit",9973,98.9006507906776
40,"ukázat",9600,95.2016692660689
41,"obrátit",9041,89.6581553994301
42,"narodit",8880,88.0615440711137
43,"dařit",8874,88.0020430278225
44,"konat",8858,87.8433735790457
45,"naučit",8801,87.2781136677784
46,"říkat",8796,87.2285294650356
47,"měnit",8597,85.2550781958744
48,"objevovat",8498,84.2733109815681
49,"starat",8401,83.3113774483588
50,"hodit",8341,82.7163670154459
51,"chystat",8239,81.7048492794939
52,"muset",8188,81.1990904115179
53,"pokoušet",8104,80.3660758054398
54,"posadit",7814,77.4901920463607
55,"domnívat",7540,74.7729777360583
56,"lišit",7336,72.7499422641543
57,"postavit",7334,72.7301085830572
58,"podílet",7316,72.5516054531834
59,"začít",7196,71.3615845873575
60,"vyskytovat",7090,70.3103994892113
61,"držet",7090,70.3103994892113
62,"používat",6951,68.931958652963
63,"bavit",6927,68.6939544797979
64,"dotknout",6899,68.4162829444385
65,"blížit",6697,66.4130811536316
66,"dočkat",6516,64.6181330143443
67,"ocitnout",6280,62.2777586448867
68,"usmívat",6248,61.9604197473332
69,"učit",6245,61.9306692256875
70,"sejít",6193,61.414993517163
71,"pustit",6130,60.7902325626044
72,"zasmát",5992,59.4217085669047
73,"povést",5931,58.8167812934432
74,"soustředit",5821,57.7259288331028
75,"vyhnout",5789,57.4085899355493
76,"zbavit",5442,53.9674462652028
77,"zúčastnit",5399,53.5410221216152
78,"postarat",5393,53.4815210783239
79,"chtít",5385,53.4021863539355
80,"nechat",5305,52.6088391100516
81,"obávat",5113,50.7048057247302
82,"zajímat",4995,49.5346185400015
83,"dostávat",4932,48.9098575854429
84,"otevřít",4920,48.7908554988603
85,"divit",4907,48.6619365717292
86,"zvednout",4882,48.4140155580155
87,"najít",4780,47.4024978220635
88,"bránit",4675,46.3612295644659
89,"projevovat",4594,45.5579654800334
90,"uskutečnit",4577,45.3893791907081
91,"projevit",4572,45.3397949879653
92,"seznámit",4465,44.2786930492706
