"","lemma","transitive_rank","transitive_frequency","transitive_ipm","reflexive_rank","reflexive_frequency","reflexive_ipm","total_rank","total_frequency","total_ipm","refexivity"
"1","absolutizovat",7186,13,0.128918927131135,7691,2,0.0198336810970977,8658,33,0.327255738102112,0.0606060606060606
"2","absolvovat",203,2907,28.8282554746315,4615,10,0.0991684054854885,614,4041,40.0739526566859,0.00247463499133878
"3","absorbovat",1582,302,2.99488584566175,3820,17,0.16858628932533,2818,483,4.78983398494909,0.0351966873706004
"4","abstrahovat",6230,19,0.188419970422428,7361,3,0.0297505216456465,7045,66,0.654511476204224,0.0454545454545455
"5","adaptovat",3417,78,0.77351356278681,1047,246,2.43954277494302,3053,423,4.19482355203616,0.581560283687943
"6","administrovat",5237,31,0.307422057005014,6931,3,0.0297505216456465,7154,63,0.624760954558577,0.0476190476190476
"7","adoptovat",1981,211,2.09245335574381,5643,6,0.0595010432912931,2916,458,4.54191297123537,0.0131004366812227
"8","adorovat",6870,14,0.138835767679684,8470,2,0.0198336810970977,7979,44,0.436340984136149,0.0454545454545455
"9","adovat",13272,1,0.00991684054854884,8312,2,0.0198336810970977,12400,7,0.0694178838398419,0.285714285714286
"10","adresovat",2563,136,1.34869031460264,9096,1,0.00991684054854884,3386,350,3.4708941919921,0.00285714285714286
"11","adsorbovat",10564,3,0.0297505216456465,4089,14,0.138835767679684,9238,26,0.25783785426227,0.538461538461538
"12","agitovat",8150,8,0.0793347243883908,6436,4,0.0396673621941954,7453,56,0.555343070718735,0.0714285714285714
"13","agregovat",7639,10,0.0991684054854885,7554,2,0.0198336810970977,8341,38,0.376839940844856,0.0526315789473684
"14","akcelerovat",4972,35,0.34708941919921,6666,3,0.0297505216456465,5722,119,1.18010402527731,0.0252100840336134
"15","akcentovat",2362,158,1.56686080667072,5359,7,0.0694178838398419,3755,287,2.84613323743352,0.024390243902439
"16","akceptovat",855,681,6.75336841356176,3749,18,0.178503129873879,1403,1395,13.8339925652256,0.0129032258064516
"17","aklimatizovat",9959,4,0.0396673621941954,2553,48,0.476008346330345,7096,65,0.644594635655675,0.738461538461539
"18","akomodovat",14528,1,0.00991684054854884,10581,1,0.00991684054854884,14087,4,0.0396673621941954,0.25
"19","akreditovat",6762,15,0.148752608228233,4321,13,0.128918927131135,6719,76,0.753679881689712,0.171052631578947
"20","aktivizovat",3795,62,0.614844114010028,2831,38,0.376839940844856,5209,148,1.46769240118523,0.256756756756757
"21","aktivovat",1039,531,5.26584233127944,911,306,3.03455320785595,1500,1274,12.6340548588512,0.240188383045526
"22","aktualizovat",1790,249,2.46929329658866,1993,78,0.77351356278681,2400,632,6.26744322668287,0.123417721518987
"23","akumulovat",3378,79,0.783430403335359,2342,57,0.565259911267284,4712,183,1.81478182038444,0.311475409836066
"24","alergizovat",13383,1,0.00991684054854884,10735,1,0.00991684054854884,12076,8,0.0793347243883908,0.125
"25","alternovat",5596,26,0.25783785426227,5638,6,0.0595010432912931,6742,76,0.753679881689712,0.0789473684210526
"26","amortizovat",10354,3,0.0297505216456465,6673,3,0.0297505216456465,11533,10,0.0991684054854885,0.3
"27","amplifikovat",9153,6,0.0595010432912931,7598,2,0.0198336810970977,9407,24,0.238004173165172,0.0833333333333333
"28","amputovat",2870,109,1.08093561979182,8210,2,0.0198336810970977,4899,170,1.6858628932533,0.0117647058823529
"29","analyzovat",588,1058,10.4920173003647,2181,66,0.654511476204224,1086,1977,19.6055937644811,0.0333839150227618
"30","anektovat",5986,21,0.208253651519526,10027,1,0.00991684054854884,7989,44,0.436340984136149,0.0227272727272727
"31","angažovat",2062,198,1.96353442861267,403,926,9.18299434795623,1421,1371,13.5959883920605,0.675419401896426
"32","anihilovat",11547,2,0.0198336810970977,5933,5,0.0495842027427442,7632,52,0.51567570852454,0.0961538461538462
"33","animovat",6916,14,0.138835767679684,7100,3,0.0297505216456465,9236,26,0.25783785426227,0.115384615384615
"34","anonymizovat",11410,2,0.0198336810970977,7882,2,0.0198336810970977,12800,6,0.0595010432912931,0.333333333333333
"35","anticipovat",5198,31,0.307422057005014,10523,1,0.00991684054854884,7365,58,0.575176751815833,0.0172413793103448
"36","antikvovat",11677,2,0.0198336810970977,11127,1,0.00991684054854884,15219,3,0.0297505216456465,0.333333333333333
"37","anulovat",4615,41,0.406590462490503,4624,10,0.0991684054854885,6300,91,0.902432489917945,0.10989010989011
"38","apelovat",8523,7,0.0694178838398419,5051,8,0.0793347243883908,2698,517,5.12700656359975,0.0154738878143133
"39","aplaudovat",8431,7,0.0694178838398419,7431,3,0.0297505216456465,5628,123,1.21977138747151,0.024390243902439
"40","aplikovat",625,998,9.89700686745175,820,355,3.52047839473484,926,2423,24.0285046491339,0.146512587701197
"41","aproximovat",4977,34,0.337172578650661,6120,4,0.0396673621941954,7240,61,0.60492727346148,0.0655737704918033
"42","aranžovat",4045,54,0.535509389621638,6453,4,0.0396673621941954,5827,113,1.12060298198602,0.0353982300884956
"43","aretovat",11031,3,0.0297505216456465,7521,2,0.0198336810970977,10700,14,0.138835767679684,0.142857142857143
"44","argumentovat",4591,42,0.416507303039051,2333,58,0.575176751815833,1511,1259,12.485302250623,0.0460683081810961
"45","archivovat",3751,64,0.634677795107126,3386,24,0.238004173165172,4424,208,2.06270283409816,0.115384615384615
"46","arizovat",10108,4,0.0396673621941954,11414,1,0.00991684054854884,12363,8,0.0793347243883908,0.125
"47","armovat",10405,3,0.0297505216456465,8638,2,0.0198336810970977,11786,9,0.0892515649369396,0.222222222222222
"48","aromatizovat",14000,1,0.00991684054854884,4814,9,0.0892515649369396,10927,13,0.128918927131135,0.692307692307692
"49","artikulovat",4157,51,0.505758867975991,5575,6,0.0595010432912931,5091,156,1.54702712557362,0.0384615384615385
"50","asanovat",9299,5,0.0495842027427442,7185,3,0.0297505216456465,11609,10,0.0991684054854885,0.3
"51","asimilovat",7108,13,0.128918927131135,3379,25,0.247921013713721,6551,82,0.813180924981005,0.304878048780488
"52","asociovat",4538,43,0.4264241435876,5657,6,0.0595010432912931,5716,119,1.18010402527731,0.0504201680672269
"53","aspirovat",9163,6,0.0595010432912931,9942,1,0.00991684054854884,5361,139,1.37844083624829,0.00719424460431655
"54","atomizovat",10255,4,0.0396673621941954,6282,4,0.0396673621941954,10683,14,0.138835767679684,0.285714285714286
"55","autocenzurovat",12930,1,0.00991684054854884,11007,1,0.00991684054854884,15622,2,0.0198336810970977,0.5
"56","automatizovat",3748,64,0.634677795107126,4764,10,0.0991684054854885,5558,127,1.2594387496657,0.078740157480315
"57","autorizovat",5402,28,0.277671535359368,5200,7,0.0694178838398419,7136,64,0.634677795107126,0.109375
"58","avizovat",2389,155,1.53711028502507,6748,3,0.0297505216456465,2982,441,4.37332668191004,0.00680272108843537
"59","babrat",13554,1,0.00991684054854884,2752,40,0.396673621941954,8001,44,0.436340984136149,0.909090909090909
