Column1,lemma,reflexivity,total_ipm,is_sem_compatible,is_anticausative,uses_double_accusative,is_visual,is_only_reflexive,is_reciprocal
1,bavit,0.49207927825531,139.599364401922,T,F,F,T,F,
2,bránit,0.424151696606786,109.303416526105,T,F,F,F,F,
3,cítit,0.368241696760083,389.950004050038,F,F,F,F,F,
4,dělit,0.473261418407161,43.2076742700273,T,F,F,F,F,
5,děsit,0.300207039337474,23.9491699247455,T,F,F,F,F,
6,diskutovat,0.20223932820154,28.3423302877526,T,T,F,F,F,
7,domluvit,0.573652990608008,40.1235368594286,T,F,F,F,F,
8,donést,0.233348436792025,21.8864670906473,F,T,T,F,F,
9,dopustit,0.606351108448173,33.102413751056,F,F,F,F,F,
10,dostávat,0.40898913674434,119.587180174951,T,F,F,F,F,
11,držet,0.27251412537956,258.006440551595,T,F,F,F,F,
12,hádat,0.58232077764277,32.6462390858228,F,F,F,F,F,
13,hájit,0.245963912630579,20.8848661952439,T,F,F,F,F,
14,hlásit,0.472423302309548,57.5375088626804,F,F,F,F,F,
15,hnát,0.468462549277267,30.1868626297827,T,F,F,F,F,
16,hnout,0.556318681318681,21.6583797580307,T,F,F,F,F,
17,hodit,0.558225137197162,148.177431476417,T,F,F,T,F,
18,honit,0.548639926233287,21.5096271498024,T,F,F,F,F,
19,hýbat,0.687869822485207,26.8151368432761,T,F,F,F,F,
20,chystat,0.677215189873418,120.648282113645,T,F,F,F,F,
21,chytat,0.206010452961672,22.7690658994681,T,F,F,T,F,
22,chytit,0.210106382978723,70.8459088788329,T,F,F,T,F,
23,chytnout,0.244771863117871,20.8650325141468,T,F,F,T,F,
24,inspirovat,0.326260677872692,35.9882143506838,T,F,F,F,F,
25,jednat,0.715755722914026,265.989497193177,T,T,F,F,F,
26,jmenovat,0.712178168664444,139.81753489399,F,F,T,F,F,
27,kroutit,0.301940369143398,20.9542840790837,T,F,F,F,F,
28,lámat,0.236476783149832,20.7162799059185,T,T,F,F,F,
29,léčit,0.303915275994865,30.9008751492782,T,F,F,F,F,
30,líbat,0.255674518201285,23.1558226808616,T,F,F,T,F,T
31,měnit,0.530057340156606,160.841236856914,T,F,F,F,F,
32,nacházet,0.763077877753646,159.809885439865,T,T,F,F,F,
33,naklonit,0.716154032453378,40.9466346249582,T,F,F,T,F,
34,naplnit,0.200855531790784,51.0023109411867,T,T,F,F,F,
35,natáčet,0.228648892905558,21.9459681339386,T,F,F,F,F,
36,natáhnout,0.346269655403145,59.282872799225,T,F,F,F,F,
37,naučit,0.65949793930311,132.340237120384,T,F,T,F,F,
38,nazývat,0.369568335006453,69.1501291450311,T,T,F,F,F,
39,obejít,0.608712715855573,50.5362194354049,T,F,F,T,F,
40,objevit,0.706380733660232,319.540436155341,T,F,F,F,F,
41,obléknout,0.345050505050505,24.5441803576584,T,F,F,T,F,
42,obracet,0.68422619047619,33.3205842431241,T,F,F,F,F,
43,obrátit,0.743564437864956,120.578864229805,T,F,F,T,F,
44,obtěžovat,0.333795654184004,21.4501261065112,T,F,F,F,F,
45,oddělit,0.210106382978723,26.1011243237806,T,F,F,F,F,
46,odebrat,0.394943330427201,22.749232218371,F,F,T,F,F,
47,odehrát,0.571302193913659,56.0499827803981,F,T,F,F,F,
48,odhadovat,0.27,33.7172578650661,T,T,F,F,F,
49,odrážet,0.505725190839695,41.5713955795168,T,T,F,F,F,
50,odtáhnout,0.323364485981308,21.2220387738945,T,F,F,F,F,
51,odvolat,0.317152103559871,24.5144298360127,T,F,F,F,F,
52,odvrátit,0.417991329479769,27.4498146383832,T,F,F,F,F,
53,ohlásit,0.217803886127429,21.9459681339386,T,F,F,F,F,
54,omezovat,0.282615337610755,32.4578191154004,T,F,F,F,F,
55,omluvit,0.761816838995569,26.8548042054703,T,F,F,F,F,
56,opakovat,0.286636666014479,101.369944087266,T,F,F,F,F,
57,opřít,0.757915831663327,49.4850343372587,T,F,T,T,F,
58,orientovat,0.641879562043796,21.7377144824191,T,F,F,F,F,
59,otáčet,0.62246835443038,31.3372161334144,T,F,F,F,F,
