"1";"dávat";"29075";""
"2";"dočíst";"1709";""
"3";"dohadovat";"1081";""
"4";"dochovat";"1126";""
"5";"doporučovat";"6650";""
"6";"dožít";"1406";""
"7";"hledat";"25935";""
"8";"hnout";"2184";""
"9";"honit";"2169";""
"10";"hovořit";"10724";""
"11";"hrnout";"1236";""
"12";"chopit";"1326";""
"13";"inspirovat";"3629";""
"14";"jet";"26053";""
"15";"koukat";"5903";""
"16";"léčit";"3116";""
"17";"loučit";"1351";""
"18";"milovat";"16776";""
"19";"mísit";"1154";""
"20";"najíst";"1532";""
"21";"naplnit";"5143";""
"22";"naskytnout";"1104";""
"23";"nastěhovat";"1213";""
"24";"nudit";"1789";""
"25";"oblékat";"1891";""
"26";"odlišovat";"1739";""
"27";"odvrátit";"2768";""
"28";"osvědčit";"1414";""
"29";"otázat";"1115";""
"30";"pamatovat";"12979";""
"31";"platit";"28533";""
"32";"podávat";"6692";""
"33";"podělit";"1440";""
"34";"podepsat";"6441";""
"35";"podivit";"1283";""
"36";"potit";"1051";""
"37";"potvrdit";"11464";""
"38";"pousmát";"1047";""
"39";"pouštět";"3674";""
"40";"prát";"2028";""
"41";"probouzet";"1775";""
"42";"probrat";"3190";""
"43";"prodat";"8238";""
"44";"projít";"14487";""
"45";"promítat";"1778";""
"46";"provdat";"1207";""
"47";"přestat";"16867";""
"48";"přidávat";"3621";""
"49";"rovnat";"1469";""
"50";"rozdělit";"6756";""
"51";"rozkládat";"1667";""
"52";"rozpadat";"1114";""
"53";"rozplynout";"1020";""
"54";"rozsvítit";"2327";""
"55";"rozšiřovat";"2864";""
"56";"rozvést";"1454";""
"57";"rozzářit";"1296";""
"58";"rýsovat";"1243";""
"59";"řadit";"2954";""
"60";"říci";"180576";""
"61";"schovávat";"2357";""
"62";"sklánět";"1265";""
"63";"specializovat";"1135";""
"64";"spoléhat";"2832";""
"65";"spustit";"7053";""
"66";"střetnout";"1123";""
"67";"stýkat";"1233";""
"68";"stýskat";"1378";""
"69";"svézt";"1345";""
"70";"tvořit";"21495";""
"71";"tyčit";"1038";""
"72";"ubránit";"1447";""
"73";"ucházet";"1099";""
"74";"uchýlit";"973";""
"75";"ukrývat";"1822";""
"76";"uplatnit";"3065";""
"77";"utkat";"1407";""
"78";"uvádět";"10952";""
"79";"užívat";"8893";""
"80";"vdát";"1127";""
"81";"vsadit";"3273";""
"82";"vybavit";"7129";""
"83";"vyskytnout";"1155";""
"84";"vyspat";"1536";""
"85";"vyšplhat";"1722";""
"86";"vytvářet";"12299";""
"87";"vzdálit";"1822";""
"88";"vzdalovat";"1290";""
"89";"vzdávat";"1703";""
"90";"začínat";"24735";""
"91";"zachvět";"1313";""
"92";"zamlouvat";"1060";""
"93";"zapsat";"4211";""
"94";"zařadit";"5549";""
"95";"zatvářit";"1343";""
"96";"zavřít";"11604";""
"97";"zdržovat";"1813";""
"98";"zlepšovat";"2277";""
"99";"zranit";"2952";""
"100";"zřítit";"1182";""
