order,lemma,frequency
"1","mít","418638"
"2","dát","36582"
"3","najít","35997"
"4","být","35569"
"5","dostat","31739"
"6","vidět","29989"
"7","získat","26589"
"8","dělat","25477"
"9","udělat","22657"
"10","vzít","20565"
"11","dávat","18793"
"12","znát","17171"
"13","hrát","17133"
"14","hledat","16306"
"15","otevřít","16201"
"16","představovat","15670"
"17","potřebovat","14284"
"18","stát","13767"
"19","vytvořit","13526"
"20","tvořit","12875"
"21","nabízet","12870"
"22","přinést","12746"
"23","sledovat","12193"
"24","vést","11906"
"25","brát","11465"
"26","držet","11365"
"27","zvednout","10681"
"28","používat","10525"
"29","znamenat","10050"
"30","změnit","10020"
"31","koupit","9870"
"32","čekat","9830"
"33","chtít","9731"
"34","nechat","9632"
"35","použít","9597"
"36","položit","9305"
"37","cítit","9287"
"38","podat","8840"
"39","slyšet","8817"
"40","vybrat","8665"
"41","moci","8553"
"42","nést","8501"
"43","vytvářet","8263"
"44","řešit","8078"
"45","připomínat","8040"
"46","ztratit","8037"
"47","obsahovat","7919"
"48","vytáhnout","7910"
"49","připravit","7879"
"50","napsat","7758"
"51","nabídnout","7732"
"52","představit","7707"
"53","objevit","7527"
"54","poslat","7498"
"55","zajistit","7423"
"56","opustit","7422"
"57","říci","7314"
"58","věnovat","7288"
"59","zavřít","7259"
"60","považovat","7254"
"61","přijmout","7226"
"62","číst","7010"
"63","postavit","6893"
"64","přinášet","6799"
"65","využít","6753"
"66","poskytovat","6684"
"67","ukázat","6406"
"68","způsobit","6183"
"69","pozorovat","6178"
"70","vyžadovat","6166"
"71","přidat","6154"
"72","trvat","6121"
"73","zvolit","6120"
"74","poskytnout","6042"
"75","začít","5887"
"76","vydat","5846"
"77","využívat","5841"
"78","psát","5824"
"79","vyhrát","5806"
"80","udržet","5761"
"81","vnímat","5755"
"82","nosit","5690"
"83","provést","5652"
"84","zvýšit","5565"
"85","podporovat","5553"
"86","nalézt","5537"
"87","uvést","5525"
"88","platit","5442"
"89","strávit","5392"
"90","vyvolat","5348"
"91","uvidět","5297"
"92","měnit","5206"
"93","umožňovat","5158"
"94","klást","5148"
"95","říkat","5124"
"96","milovat","5074"
"97","poznat","4985"
"98","navštívit","4925"
"99","spatřit","4785"
"100","dostávat","4690"
"101","založit","4673"
"102","zahájit","4630"
"103","snížit","4627"
"104","vrátit","4470"
"105","převzít","4433"
"106","zvládnout","4382"
"107","zastavit","4286"
"108","provádět","4261"
"109","ztrácet","4254"
"110","ukazovat","4221"
"111","chápat","4198"
"112","zachránit","4152"
"113","plnit","4133"
"114","připravovat","4057"
"115","nahradit","4033"
"116","očekávat","3999"
"117","pořídit","3984"
"118","trávit","3975"
"119","popsat","3945"
"120","řídit","3920"
"121","zažít","3918"
"122","ukončit","3918"
"123","uzavřít","3909"
"124","zaplatit","3901"
"125","poslouchat","3891"
"126","ovlivnit","3856"
"127","potvrdit","3853"
"128","ovlivňovat","3825"
"129","přijít","3822"
"130","splnit","3783"
"131","zvyšovat","3736"
"132","pustit","3730"
"133","udržovat","3727"
"134","spustit","3717"
"135","podpořit","3710"
"136","popisovat","3695"
"137","dokončit","3692"
"138","přečíst","3664"
"139","zaznamenat","3659"
"140","odhalit","3599"
"141","zajišťovat","3586"
"142","překonat","3528"
"143","skončit","3528"
"144","následovat","3527"
"145","podávat","3502"
"146","vyvolávat","3479"
"147","zaujmout","3472"
"148","uvádět","3453"
"149","užívat","3449"
"150","vybírat","3426"
"151","studovat","3423"
"152","stáhnout","3385"
"153","prodat","3385"
"154","hodit","3353"
"155","nacházet","3323"
"156","zabít","3319"
"157","umožnit","3295"
"158","působit","3286"
"159","získávat","3286"
"160","zavést","3272"
"161","natáhnout","3240"
"162","prohlížet","3237"
"163","viz","3235"
"164","podepsat","3195"
"165","vyřešit","3192"
"166","jít","3175"
"167","odmítnout","3164"
"168","dodávat","3151"
"169","dodat","3121"
"170","pít","3114"
"171","nasadit","3114"
"172","prodávat","3107"
"173","označit","3106"
"174","prohlédnout","3090"
"175","vypadat","3089"
"176","připomenout","3081"
"177","zrušit","3081"
"178","zahlédnout","3079"
"179","učinit","3066"
"180","rozšířit","3062"
"181","určit","3054"
"182","sehnat","3051"
"183","odložit","3048"
"184","činit","3031"
"185","vydávat","3023"
"186","posílat","3018"
"187","přivést","3017"
"188","vyměnit","3014"
"189","odstranit","3013"
"190","volit","3012"
"191","stanovit","3010"
"192","přijímat","3005"
"193","potkat","2985"
"194","chránit","2975"
"195","zachovat","2966"
"196","vyjádřit","2951"
"197","předat","2935"
"198","vyzkoušet","2925"
"199","existovat","2914"
"200","sloužit","2914"
"201","snižovat","2910"
"202","vysvětlit","2909"
"203","absolvovat","2907"
"204","žít","2900"
"205","zahrnovat","2876"
"206","muset","2843"
"207","přežít","2836"
"208","navrhnout","2825"
"209","vybudovat","2801"
"210","zkoumat","2787"
"211","hodnotit","2770"
"212","myslet","2768"
"213","stisknout","2753"
"214","zničit","2746"
"215","pořádat","2744"
"216","vyrábět","2731"
"217","napadnout","2717"
"218","zjistit","2705"
"219","prožívat","2670"
"220","zasloužit","2664"
"221","žádat","2663"
"222","snášet","2661"
"223","kupovat","2657"
"224","pochopit","2648"
"225","ovládat","2647"
"226","zachytit","2644"
"227","obdržet","2617"
"228","sbírat","2605"
"229","sundat","2587"
"230","nastavit","2580"
"231","probíhat","2572"
"232","slavit","2567"
"233","porazit","2565"
"234","přát","2547"
"235","plánovat","2544"
"236","vydržet","2537"
"237","vzbudit","2529"
"238","vyprávět","2519"
"239","prožít","2517"
"240","vykazovat","2505"
"241","sebrat","2494"
"242","jíst","2485"
"243","vložit","2476"
"244","vzniknout","2472"
"245","mívat","2465"
"246","doplnit","2458"
"247","zanechat","2458"
"248","chystat","2453"
"249","schválit","2443"
"250","projevit","2437"
"251","zaslechnout","2434"
"252","složit","2431"
"253","upravit","2431"
"254","překročit","2429"
"255","vymyslet","2418"
"256","omezit","2415"
"257","začínat","2415"
"258","pocítit","2410"
"259","odmítat","2383"
"260","pamatovat","2381"
"261","předvést","2367"
"262","způsobovat","2350"
"263","zajímat","2339"
"264","naplnit","2326"
"265","ocenit","2320"
"266","označovat","2317"
"267","vyrobit","2309"
"268","otevírat","2292"
"269","kontrolovat","2290"
"270","vyjadřovat","2286"
"271","popadnout","2284"
"272","zůstat","2283"
"273","obsadit","2274"
"274","prokázat","2273"
"275","požádat","2269"
"276","uspořádat","2265"
"277","opakovat","2255"
"278","natočit","2255"
"279","zavolat","2237"
"280","rozdělit","2229"
"281","odnést","2228"
"282","zasáhnout","2219"
"283","učit","2216"
"284","sdílet","2210"
"285","přivézt","2208"
"286","obrátit","2199"
"287","vysvětlovat","2199"
"288","splňovat","2198"
"289","uvolnit","2190"
"290","užít","2190"
"291","vykonávat","2188"
"292","spojovat","2183"
"293","objednat","2173"
"294","přerušit","2163"
"295","ovládnout","2143"
"296","stavět","2141"
"297","vědět","2127"
"298","uložit","2122"
"299","patřit","2110"
"300","projít","2109"
"301","vyjít","2109"
"302","zlepšit","2104"
"303","vyhlásit","2093"
"304","mluvit","2089"
"305","uslyšet","2087"
"306","oznámit","2086"
"307","otočit","2066"
"308","požadovat","2064"
"309","realizovat","2063"
"310","zapálit","2048"
"311","sehrát","2041"
"312","odpovídat","2039"
"313","provozovat","2036"
"314","ucítit","2000"
"315","umístit","1999"
"316","dokázat","1989"
"317","přesvědčit","1989"
"318","zahrát","1984"
"319","spojit","1981"
"320","opouštět","1974"
"321","chytit","1966"
"322","konat","1962"
"323","naučit","1957"
"324","nechávat","1952"
"325","proměnit","1951"
"326","zvedat","1949"
"327","vyslovit","1949"
"328","zveřejnit","1942"
"329","strčit","1926"
"330","skrývat","1922"
"331","sevřít","1921"
"332","určovat","1911"
"333","počítat","1904"
"334","respektovat","1890"
"335","navštěvovat","1890"
"336","hlídat","1890"
"337","zastávat","1889"
"338","komentovat","1888"
"339","definovat","1887"
"340","dovolit","1886"
"341","posílit","1879"
"342","provázet","1870"
"343","předložit","1866"
"344","svírat","1862"
"345","utrpět","1861"
"346","přicházet","1845"
"347","ukrást","1836"
"348","ponechat","1823"
"349","nalít","1813"
"350","pracovat","1801"
"351","objevovat","1795"
"352","nazývat","1794"
"353","vystudovat","1785"
"354","dodržovat","1785"
"355","sedět","1781"
"356","budovat","1764"
"357","pokládat","1764"
"358","bránit","1759"
"359","pokrývat","1753"
"360","ležet","1753"
"361","vyvinout","1748"
"362","proběhnout","1748"
"363","oslavit","1746"
"364","vyrazit","1743"
"365","zkusit","1740"
"366","končit","1736"
"367","vypnout","1724"
"368","doplňovat","1721"
"369","zlomit","1714"
"370","předpokládat","1707"
"371","odvést","1706"
"372","odrážet","1705"
"373","ušetřit","1698"
"374","táhnout","1692"
"375","zpívat","1691"
"376","nabrat","1675"
"377","oslovit","1670"
"378","přitáhnout","1666"
"379","zakrýt","1665"
"380","doprovázet","1660"
"381","zařadit","1639"
"382","rozvíjet","1636"
"383","měřit","1627"
"384","vyndat","1624"
"385","přejít","1621"
"386","vybavit","1621"
"387","dopřát","1618"
"388","budit","1613"
"389","pozvat","1611"
"390","slibovat","1608"
"391","obnovit","1599"
"392","obdivovat","1599"
"393","připadat","1588"
"394","chodit","1585"
"395","informovat","1578"
"396","vyžádat","1577"
"397","zkoušet","1577"
"398","uskutečnit","1562"
"399","spáchat","1555"
"400","navázat","1554"
"401","rozhodnout","1554"
"402","posunout","1550"
"403","charakterizovat","1533"
"404","chovat","1533"
"405","sestavit","1532"
"406","prodloužit","1528"
"407","zopakovat","1526"
"408","zkontrolovat","1525"
"409","zvládat","1524"
"410","chybět","1524"
"411","postrádat","1524"
"412","pokrýt","1524"
"413","projevovat","1521"
"414","zapnout","1519"
"415","potvrzovat","1518"
"416","vycházet","1498"
"417","zdobit","1498"
"418","fungovat","1497"
"419","odehrát","1496"
"420","vyhledat","1487"
"421","probudit","1486"
"422","prosadit","1485"
"423","zažívat","1475"
"424","jmenovat","1473"
"425","trápit","1472"
"426","vypít","1466"
"427","dosahovat","1466"
"428","lákat","1464"
"429","házet","1459"
"430","odvézt","1455"
"431","potěšit","1454"
"432","vzbuzovat","1454"
"433","doporučovat","1454"
"434","zařídit","1445"
