"order","lemma","transitive_frequency","transitive_ipm"
1,"mít",418638,4151.56629356339
2,"dát",36582,362.777860947014
3,"najít",35997,356.976509226113
4,"být",35569,352.732101471334
5,"dostat",31739,314.750602170392
6,"vidět",29989,297.396131210431
7,"získat",26589,263.678873345365
8,"dělat",25477,252.651346655379
9,"udělat",22657,224.685856308471
10,"vzít",20565,203.939825880907
11,"dávat",18793,186.367184428878
12,"znát",17171,170.282069059132
13,"hrát",17133,169.905229118287
14,"hledat",16306,161.704001984637
15,"otevřít",16201,160.66273372704
16,"představovat",15670,155.39689139576
17,"potřebovat",14284,141.652150395472
18,"stát",13767,136.525143831872
19,"vytvořit",13526,134.135185259672
20,"tvořit",12875,127.679322062566
21,"nabízet",12870,127.629737859824
22,"přinést",12746,126.400049631804
23,"sledovat",12193,120.916036808456
24,"vést",11906,118.069903571023
25,"brát",11465,113.696576889113
26,"držet",11365,112.704892834258
27,"zvednout",10681,105.92177389905
28,"používat",10525,104.374746773477
29,"znamenat",10050,99.6642475129159
30,"změnit",10020,99.3667422964594
31,"koupit",9870,97.8792162141771
32,"čekat",9830,97.4825425922351
33,"chtít",9731,96.5007753779288
34,"nechat",9632,95.5190081636225
35,"použít",9597,95.1719187444233
36,"položit",9305,92.276201304247
37,"cítit",9287,92.0976981743731
38,"podat",8840,87.6648704491718
39,"slyšet",8817,87.4367831165552
40,"vybrat",8665,85.9294233531757
41,"moci",8553,84.8187372117383
42,"nést",8501,84.3030615032137
43,"vytvářet",8263,81.9428534526591
44,"řešit",8078,80.1082379511776
45,"připomínat",8040,79.7313980103327
46,"ztratit",8037,79.7016474886871
47,"obsahovat",7919,78.5314603039583
48,"vytáhnout",7910,78.4422087390214
49,"připravit",7879,78.1347866820164
50,"napsat",7758,76.9348489756419
51,"nabídnout",7732,76.6770111213797
52,"představit",7707,76.4290901076659
53,"objevit",7527,74.6440588089272
54,"poslat",7498,74.3564704330192
55,"zajistit",7423,73.6127073918781
56,"opustit",7422,73.6027905513295
57,"říci",7314,72.5317717720862
58,"věnovat",7288,72.273933917824
59,"zavřít",7259,71.9863455419161
60,"považovat",7254,71.9367613391733
61,"přijmout",7226,71.659089803814
62,"číst",7010,69.5170522453274
63,"postavit",6893,68.3567819011472
64,"přinášet",6799,67.4245988895836
65,"využít",6753,66.9684242243503
66,"poskytovat",6684,66.2841622265005
67,"ukázat",6406,63.5272805540039
68,"způsobit",6183,61.3158251116775
69,"pozorovat",6178,61.2662409089348
70,"vyžadovat",6166,61.1472388223522
71,"přidat",6154,61.0282367357696
72,"trvat",6121,60.7009809976675
73,"zvolit",6120,60.6910641571189
74,"poskytnout",6042,59.9175505943321
75,"začít",5887,58.380440309307
76,"vydat",5846,57.9738498468165
77,"využívat",5841,57.9242656440738
78,"psát",5824,57.7556793547485
79,"vyhrát",5806,57.5771762248746
80,"udržet",5761,57.1309184001899
81,"vnímat",5755,57.0714173568986
82,"nosit",5690,56.4268227212429
83,"provést",5652,56.0499827803981
84,"zvýšit",5565,55.1872176526743
85,"podporovat",5553,55.0682155660917
86,"nalézt",5537,54.909546117315
87,"uvést",5525,54.7905440307324
88,"platit",5442,53.9674462652028
89,"strávit",5392,53.4716042377754
90,"vyvolat",5348,53.0352632536392
91,"uvidět",5297,52.5295043856632
92,"měnit",5206,51.6270718957453
93,"umožňovat",5158,51.1510635494149
94,"klást",5148,51.0518951439295
95,"říkat",5124,50.8138909707643
96,"milovat",5074,50.3180489433368
